Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
TOTAL;FR0000120271;FP;"Euronext Paris, Brussels";EUR;47.115;47.625;46.915;47.59;27/09/19;CET;8383407;397026865.76
"TPF CONTRACTING";BE0024981525;-;"Euronext Expert Market";EUR;89.1;89.1;89.1;89.1;05/06/18;CET;15;1336.5
"TUBIZE (ATTR)";BE0099967573;TUBAT;"Euronext Expert Market";EUR;0.41;0.41;0.41;0.41;12/06/18;CET;70;28.7
TUBIZE-FIN;BE0003823409;TUB;"Euronext Brussels";EUR;58;58.7;57.5;58.7;27/09/19;CET;3797;221085.5
"U&I LEARNING";BE0003847648;UNI;"Euronext Access Brussels";EUR;2.74;2.74;2.74;2.74;05/09/19;CET;1006;2756.44
"UCARE SERVICES BEL";BE0003838555;PNSB;"Euronext Access Brussels";EUR;1.02;1.02;1.02;1.02;10/07/19;CET;1600;1632
UCB;BE0003739530;UCB;"Euronext Brussels";EUR;66.2;66.74;65.3;66.74;27/09/19;CET;274378;18236004.8
UMICORE;BE0974320526;UMI;"Euronext Brussels";EUR;34.74;35.37;34.72;35.13;27/09/19;CET;667584;23450093.98
"UNION PAC CORP";US9078181081;UNPA;"Traded not listed Brussels";USD;104.55;104.55;104.55;104.55;22/12/16;CET;78;8154.9
UTEXBEL;BE0017609521;-;"Euronext Expert Market";EUR;91.05;91.05;91.05;91.05;20/10/15;CET;84;7648.2
"VAN DE VELDE";BE0003839561;VAN;"Euronext Brussels";EUR;23.5;23.8;23.45;23.7;27/09/19;CET;997;23530.85
"VASTNED RETAIL BEL";BE0003754687;VASTB;"Euronext Brussels";EUR;44.8;44.8;44.6;44.8;27/09/19;CET;507;22702.8
"VDK BANK";BE0022780820;-;"Euronext Expert Market";EUR;3900;3900;3900;3900;24/09/19;CET;2;7800
"VERIZON COMM.";US92343V1044;VERIZ;"Traded not listed Brussels";USD;34.91;34.91;34.91;34.91;05/03/12;CET;328;11450.48
VGP;BE0003878957;VGP;"Euronext Brussels";EUR;84.2;84.4;83.6;84;27/09/19;CET;1814;152660.6
VIOHALCO;BE0974271034;VIO;"Euronext Brussels";EUR;3.805;3.825;3.695;3.795;27/09/19;CET;6375;23809.065
VOLKSVERMOGEN;BE0947790037;-;"Euronext Expert Market";EUR;1200;1200;1200;1200;19/02/19;CET;10;12000
VOLKSWAGEN;DE0007664005;VWA;"Traded not listed Brussels";EUR;157.5;157.5;157.5;157.5;27/09/19;CET;10;1575
"VOLKSWAGEN PREF";DE0007664039;VWAP;"Traded not listed Brussels";EUR;140;140;140;140;14/08/19;CET;10;1400
VOORUITZICHT;BE0020918638;-;"Euronext Expert Market";EUR;1050;1050;1050;1050;24/11/15;CET;51;53550
VRANKEN-POMMERY;FR0000062796;VRAP;"Euronext Paris, Brussels";EUR;21.8;22;21.5;21.8;27/09/19;CET;715;15503.1
WAREHOUSES;BE0003734481;WEB;"Euronext Brussels";EUR;56;57.5;56;56;27/09/19;CET;745;42265
WDP;BE0003763779;WDP;"Euronext Brussels, Amsterdam";EUR;170.6;171.2;166.2;167.4;27/09/19;CET;39401;6598734.8
"WERELDHAVE BELGIUM";BE0003724383;WEHB;"Euronext Brussels";EUR;80;80;79.6;80;27/09/19;CET;2085;166744.6
"WEYVELD NOSSEGEM";BE0107958945;-;"Euronext Expert Market";EUR;4700.01;4700.01;4700.01;4700.01;28/03/17;CET;10;47000.1
"WOL. EXTENS. CERT";BE0003600112;WOLE;"Euronext Brussels";EUR;30.1;30.1;30.1;30.1;26/09/19;CET;10;301
"WOL. SHOPPING CERT";BE0003571792;WOLS;"Euronext Brussels";EUR;37.03;37.03;37.03;37.03;25/09/19;CET;10;370.3
XIOR;BE0974288202;XIOR;"Euronext Brussels";EUR;49.35;50.3;49.25;49.9;27/09/19;CET;9877;492607.2
ZENITEL;BE0974311434;ZENT;"Euronext Brussels";EUR;16;16;16;16;27/09/19;CET;419;6704
"ZENOBE GRAMME CERT";BE0003809267;ZEN;"Euronext Brussels";EUR;158;158;158;158;26/09/19;CET;3;474
