"Historical Data"
"From 1998-01-01  to 2019-09-29"
BE0974293251
Date;Open;High;Low;Close;"Number of Shares";"Number of Trades";Turnover
11/12/2017;94.58;95.14;94.22;94.31;984,239;9,486;93,027,541
12/12/2017;94.3;95.26;94;94.97;1,583,843;11,814;149,911,265
13/12/2017;94.73;94.96;93.85;93.87;1,423,864;12,159;134,100,491
14/12/2017;94.16;94.31;93.02;93.7;1,625,346;13,344;152,212,701
15/12/2017;93.7;94.03;93.02;93.95;3,036,315;15,615;284,702,369
18/12/2017;94.2;95.44;94.06;95.01;1,931,571;16,496;183,322,257
19/12/2017;94.82;95.92;94.61;94.66;1,654,149;15,822;157,439,320
20/12/2017;94.24;95.34;94.04;94.23;1,696,833;17,201;160,429,888
21/12/2017;94.24;94.85;93.87;94.21;1,584,446;13,861;149,496,841
22/12/2017;94;94.83;93.6;93.99;1,079,338;10,800;101,552,090
27/12/2017;93.75;94.8;93.75;94.05;844,367;9,338;79,516,862
28/12/2017;94.05;94.34;93.04;93.18;861,225;8,511;80,572,189
29/12/2017;93.23;93.59;92.88;93.13;1,144,694;10,065;106,615,144
02/01/2018;93.2;93.28;92.53;93.26;1,537,503;14,885;142,978,668
03/01/2018;93.27;94.16;92.5;93.82;1,566,017;14,722;146,162,483
04/01/2018;94.48;94.91;94.02;94.34;1,912,976;14,034;180,539,648
05/01/2018;94.86;95.71;94.76;95.23;1,852,838;15,941;176,585,133
08/01/2018;95.84;95.86;94.81;94.91;1,099,464;10,271;104,649,006
09/01/2018;95.07;96.7;95.03;95.73;1,673,893;16,197;160,539,135
10/01/2018;95.7;96.48;95.08;95.27;2,195,168;23,249;210,038,266
11/01/2018;95.6;96.01;94.92;95.1;1,580,014;15,329;150,611,677
12/01/2018;95.12;95.4;94.49;94.75;1,394,898;12,237;132,356,640
15/01/2018;94.84;95.94;94.51;95.34;1,236,292;9,114;118,004,774
16/01/2018;95.5;95.8;94.66;94.82;1,620,036;14,767;153,960,316
17/01/2018;94.59;94.91;94.03;94.55;1,302,496;12,523;123,116,954
18/01/2018;94.81;95.17;93.82;94.13;2,019,903;18,362;190,344,775
19/01/2018;94.13;95;94.02;94.36;1,703,741;14,478;160,983,388
22/01/2018;94.28;94.51;93.63;94.14;1,221,346;10,790;114,885,763
23/01/2018;93.97;94.41;92.76;93.21;2,038,359;18,133;190,253,358
24/01/2018;93;93.14;92.03;92.03;1,582,549;12,485;146,273,907
25/01/2018;92;92.87;91.28;91.51;1,576,947;12,639;144,839,157
26/01/2018;91.78;92.8;91.51;92.55;1,325,418;10,481;122,467,085
29/01/2018;92.5;92.52;90.81;91.4;1,898,080;15,221;173,483,398
30/01/2018;91.3;91.75;91.03;91.37;1,655,203;12,342;151,257,389
31/01/2018;91.75;91.91;91.09;91.14;1,506,380;9,901;137,445,887
01/02/2018;91.85;92.26;91.03;91.4;1,518,490;14,827;138,997,247
02/02/2018;91;91.3;89.66;89.69;1,845,854;14,205;166,442,225
05/02/2018;89.64;89.64;87.81;88.26;2,200,391;19,632;194,618,067
06/02/2018;85;87.51;84.29;86.26;4,067,191;37,272;351,019,573
07/02/2018;87.6;88.42;86.71;88.02;2,076,760;16,042;182,173,905
08/02/2018;87.03;87.4;85.12;85.53;2,453,525;19,694;211,182,534
09/02/2018;85;85.47;83.21;83.92;2,634,649;24,993;221,971,240
12/02/2018;85;85.26;84.38;84.64;1,934,183;15,338;164,096,591
13/02/2018;84.67;84.92;83.63;83.71;1,429,956;13,143;120,046,860
14/02/2018;84.49;85.12;82.98;83.59;2,067,168;18,517;173,330,708
15/02/2018;83.32;83.47;82.03;83.2;2,242,674;22,032;186,060,705
16/02/2018;84.26;85.75;84.03;85.21;2,441,964;17,343;208,126,745
19/02/2018;85.71;85.74;85.18;85.3;956,058;8,223;81,670,104
20/02/2018;85.13;85.4;84.59;85.4;1,253,967;9,545;106,770,113
21/02/2018;85.17;85.84;85.1;85.67;1,224,446;10,493;104,716,712
22/02/2018;85.2;85.99;84.69;85.74;1,283,856;11,813;109,580,540
23/02/2018;86.04;86.69;85.28;86.61;1,123,176;9,965;96,638,905
26/02/2018;87.27;88.15;86.93;87.89;1,470,454;13,200;129,009,905
27/02/2018;88.46;88.54;87.04;87.09;1,490,696;12,353;130,326,215
28/02/2018;86.75;88.19;86.51;87.48;2,361,874;18,383;206,559,086
01/03/2018;91.72;92.93;89.43;89.43;4,620,450;41,574;420,768,485
02/03/2018;90.87;92.14;88.6;88.76;3,927,683;39,822;354,524,759
05/03/2018;89.35;90.31;88.88;90.17;1,964,285;17,256;176,465,852
06/03/2018;90.3;90.96;89.74;90.61;1,749,337;17,731;158,316,727
07/03/2018;90.23;90.62;89.7;90.5;1,076,604;11,158;97,169,320
08/03/2018;90.28;93.52;90.28;93.45;2,209,308;17,499;204,755,396
09/03/2018;93.17;94.12;92.8;93.27;1,648,272;12,708;153,997,261
12/03/2018;94.5;95.08;93.9;93.9;2,159,447;17,357;203,691,397
13/03/2018;93.69;93.89;92.88;92.88;1,992,863;17,326;185,836,570
14/03/2018;93.02;93.46;91.37;91.64;1,805,797;13,577;166,376,453
15/03/2018;91.91;92.36;91.13;91.8;1,808,341;14,480;165,819,237
16/03/2018;91.44;92.55;91.35;91.78;4,033,848;15,435;370,779,744
19/03/2018;91.33;92.14;90.82;91.25;1,296,457;12,747;118,440,148
20/03/2018;91.13;92.16;90.91;91.78;1,152,609;11,859;105,461,912
21/03/2018;91.73;92.26;89.92;90.27;1,611,262;14,959;146,100,636
22/03/2018;89.88;89.88;88.11;89.09;1,902,998;17,799;169,221,630
23/03/2018;87.91;88.5;87.04;87.28;2,043,351;20,018;179,072,967
26/03/2018;87.88;87.88;85.54;85.88;1,940,070;15,698;167,586,815
27/03/2018;86.51;87.22;86.29;86.92;1,483,824;15,372;128,824,642
28/03/2018;86.6;88.99;86.14;88.99;2,158,001;18,955;189,916,529
29/03/2018;90.4;90.53;88.7;89.28;1,934,690;15,148;173,217,756
03/04/2018;87.88;88.27;87.14;88.01;1,605,110;14,449;140,924,002
04/04/2018;87.79;88.13;86.72;88.05;1,758,657;18,230;154,061,958
05/04/2018;90;90.51;89.18;90.2;1,764,251;13,331;158,800,058
06/04/2018;89.59;90.04;88.83;89.21;1,292,388;11,138;115,484,602
09/04/2018;88.24;88.95;87.85;88.95;1,389,668;12,747;123,104,456
10/04/2018;88.95;89.42;87.94;88.34;1,295,908;10,854;114,735,634
11/04/2018;87;87.76;86.4;86.4;2,092,563;15,619;181,406,418
12/04/2018;86.61;86.79;85.12;85.99;2,059,057;16,801;176,824,649
13/04/2018;85.99;85.99;84.98;85.24;1,633,206;13,638;139,341,257
16/04/2018;85.14;85.14;84.1;84.67;1,451,198;11,676;122,795,956
17/04/2018;84.21;86.39;84.21;86.1;2,039,174;14,921;174,645,526
18/04/2018;86.37;86.87;85.89;86.3;1,512,214;13,615;130,563,032
19/04/2018;86.94;87.12;85.07;85.2;1,479,411;11,011;126,881,882
20/04/2018;85.2;86.28;84.95;85.49;1,958,187;13,178;167,546,956
23/04/2018;84.9;85.01;83.86;84.6;1,604,777;15,153;135,421,942
24/04/2018;84.72;85.51;83.88;84.47;1,758,718;14,439;148,937,290
25/04/2018;84.11;85.08;83.82;84.91;1,539,216;13,304;130,271,728
26/04/2018;84.77;86.06;84.73;85.78;1,646,690;14,153;141,106,792
27/04/2018;85;85.38;83.22;84.19;2,713,752;18,808;228,860,298
30/04/2018;81.37;83;81.24;82.72;2,557,863;18,252;211,046,230
02/05/2018;81.95;82.63;79.67;80.16;4,002,221;29,999;323,316,099
03/05/2018;79.5;80.97;78.95;80.65;2,762,932;23,457;221,808,097
04/05/2018;80.8;82.28;80.77;81.67;2,570,048;17,755;209,774,350
07/05/2018;81.91;82.14;81.53;82.08;1,046,719;8,616;85,776,196
08/05/2018;81.8;82.79;81.8;82.72;1,671,370;11,502;137,972,459
09/05/2018;86.04;86.39;82.45;82.72;3,884,646;30,585;326,704,756
10/05/2018;82.49;82.56;79.34;79.86;3,012,781;21,701;241,756,166
11/05/2018;80;80.84;79.61;79.8;1,675,781;12,033;134,107,004
14/05/2018;79.8;81.15;79.79;80.06;1,795,803;15,943;144,090,355
15/05/2018;80.02;80.62;78.61;79.19;2,602,203;19,483;206,335,614
16/05/2018;79.38;79.82;79.03;79.82;1,342,912;8,171;106,909,916
17/05/2018;79.85;80.94;79.62;80.34;1,611,726;11,271;129,378,056
18/05/2018;80.3;81.13;79.9;80.03;3,111,246;16,973;250,194,017
21/05/2018;80.5;80.63;80.03;80.2;735,161;7,885;59,011,998
22/05/2018;81.17;81.47;80.27;80.51;1,666,521;14,096;134,744,585
23/05/2018;80.5;80.91;80;80.52;1,810,981;14,172;145,823,587
24/05/2018;80.86;82.08;80.36;81.4;1,978,944;13,941;161,260,950
25/05/2018;82.09;82.28;80.54;81.51;1,678,140;14,642;136,677,271
28/05/2018;81.91;82.79;81.62;81.99;1,558,887;13,391;127,953,717
29/05/2018;81.4;81.97;79.28;80.11;2,728,302;22,383;218,518,147
30/05/2018;80.66;81.19;80.21;80.54;2,059,030;15,875;165,999,890
31/05/2018;80.7;81.71;79.96;80.22;2,308,003;15,193;186,078,475
01/06/2018;80.21;81.63;79.94;80.24;1,971,959;17,859;158,985,577
04/06/2018;81.44;82.89;81.26;82.32;2,792,735;22,417;229,977,442
05/06/2018;82.38;83.55;81.47;81.54;1,844,107;14,502;151,742,661
06/06/2018;81.54;81.8;80.03;80.5;2,144,782;16,408;172,820,112
07/06/2018;80.73;81.02;79.5;79.85;1,851,347;15,684;148,247,462
08/06/2018;79.71;80.21;79.28;80.1;1,689,378;13,988;134,963,169
11/06/2018;80.9;82.21;80.78;82.04;1,970,749;11,556;161,081,473
12/06/2018;82.86;83.26;82.27;83.1;2,040,857;12,508;169,251,636
13/06/2018;83.21;83.84;82.98;83.46;1,670,767;11,036;139,453,111
14/06/2018;83.1;84.41;82.02;84.03;2,000,475;12,750;167,057,484
15/06/2018;84.2;86.2;84.12;84.59;4,371,308;21,138;371,172,213
18/06/2018;84.84;85.06;82.85;82.98;2,184,233;16,721;182,076,291
19/06/2018;82.45;83.37;82.03;83.02;1,659,537;14,595;137,497,313
20/06/2018;83.6;84.29;83.24;83.27;1,958,589;14,947;163,672,307
21/06/2018;83.51;84.72;83.51;83.89;2,056,439;14,862;173,068,962
22/06/2018;84.19;85.21;84.18;85.21;1,943,801;9,893;165,157,410
25/06/2018;85.2;85.62;83.59;83.59;1,154,736;8,045;97,290,131
26/06/2018;83;83.99;83;83.75;1,261,406;8,656;105,480,108
27/06/2018;84.47;85.24;83.55;85.06;2,033,054;16,549;172,038,891
28/06/2018;85.33;85.55;84.48;85.46;1,547,547;11,534;131,899,037
29/06/2018;86.75;87.11;86.08;86.5;3,009,857;20,690;260,508,397
02/07/2018;86.02;86.87;85.15;86.49;1,333,320;10,888;115,116,509
03/07/2018;87;87.65;86.77;87.29;1,406,074;11,003;122,706,777
04/07/2018;87.3;87.81;87.06;87.2;826,081;6,787;72,168,436
05/07/2018;87.42;88.16;86.43;87.18;1,650,622;12,957;143,905,206
06/07/2018;87.9;89.12;87.65;88.8;1,954,447;14,210;173,029,158
09/07/2018;89;89.33;88.3;88.71;1,344,613;12,945;119,388,198
10/07/2018;88.36;88.66;87.85;88.5;1,318,399;10,506;116,385,271
11/07/2018;87.9;88.98;87.9;88.3;1,645,005;12,034;145,618,900
12/07/2018;88.68;88.97;88.49;88.75;1,180,757;8,972;104,763,769
13/07/2018;88.72;89.38;88.72;88.91;1,209,861;9,268;107,653,534
16/07/2018;88.99;89.68;88.52;88.52;978,441;7,518;86,935,372
17/07/2018;89.13;89.13;87.69;88.13;1,124,667;8,065;99,173,236
18/07/2018;87.81;88.74;87.68;88.3;1,295,308;10,722;114,432,410
19/07/2018;88.03;88.85;87.64;88.73;1,329,148;10,421;117,620,816
20/07/2018;88.8;90.35;88.75;89.54;2,139,630;15,325;191,935,587
23/07/2018;89.5;90.03;88.89;89.67;1,227,077;10,971;110,012,867
24/07/2018;89.94;90.45;89.43;89.88;1,568,223;13,044;140,944,102
25/07/2018;90.14;91.14;89.95;91.03;1,751,464;13,040;158,861,462
26/07/2018;88.2;88.49;85.67;87.33;3,635,367;27,069;316,195,496
27/07/2018;86.6;87.67;86.55;87.3;1,338,977;9,414;116,948,075
30/07/2018;86.97;86.99;86.06;86.29;1,126,582;9,038;97,332,878
31/07/2018;86.79;86.93;86.11;86.59;1,543,222;11,616;133,569,451
01/08/2018;86.67;87.04;86.2;86.55;1,399,483;10,765;121,136,043
02/08/2018;86.71;86.9;85.29;85.81;1,673,138;12,514;143,968,641
03/08/2018;86.89;87.07;86.36;86.76;1,446,642;11,104;125,506,290
06/08/2018;86.8;87.3;86.45;86.73;907,996;7,921;78,771,141
07/08/2018;86.75;87.26;86.63;86.96;866,501;6,350;75,366,333
08/08/2018;86.93;87.15;85.82;85.95;1,146,079;8,544;98,746,544
09/08/2018;85.99;86.56;85.28;86.34;1,023,857;7,673;88,194,300
10/08/2018;85.9;86.25;84.53;84.8;1,952,916;15,621;165,952,943
13/08/2018;84.82;85.27;83.77;84.42;1,429,267;10,700;120,621,194
14/08/2018;84.5;86.16;84.5;85.78;1,579,433;10,922;135,458,217
15/08/2018;86.63;86.74;85.62;86.19;1,812,611;15,046;156,238,570
16/08/2018;86.89;87.5;86.41;86.7;1,037,424;7,083;89,955,686
17/08/2018;86.81;87.45;86.64;86.97;1,262,857;10,971;109,860,894
20/08/2018;87.42;87.61;86.75;87.04;908,534;6,748;79,170,157
21/08/2018;87.04;88.49;86.88;87.1;1,389,519;12,080;121,788,971
22/08/2018;86.54;86.73;85.06;85.2;1,666,847;10,671;142,869,231
23/08/2018;85.51;85.51;84.6;84.99;1,070,559;8,173;91,036,342
24/08/2018;84.99;85.67;84.39;84.73;982,880;8,158;83,524,545
27/08/2018;85;85.04;84.24;84.67;810,595;7,076;68,648,887
28/08/2018;84.85;85.26;84.1;84.1;1,176,359;7,950;99,403,082
29/08/2018;84.01;84.19;83.59;84;1,217,581;9,936;102,181,968
30/08/2018;83.82;83.94;82.23;82.28;1,805,176;12,518;149,065,290
31/08/2018;81.62;81.69;79.09;80.65;3,006,701;20,189;241,994,822
03/09/2018;80.25;80.45;79.43;80.14;1,275,549;10,779;101,932,116
04/09/2018;80.2;80.94;79.54;79.81;1,615,278;12,479;129,321,957
05/09/2018;79.45;79.78;77.53;78.2;3,121,721;23,872;244,194,778
06/09/2018;77.67;78.18;77.45;77.45;1,645,949;12,270;127,853,485
07/09/2018;77.7;78.14;76.48;77.53;2,653,207;21,932;205,304,551
10/09/2018;77.92;77.99;77.08;77.39;1,401,102;11,008;108,550,862
11/09/2018;77.39;77.39;75.88;76.23;2,186,899;16,119;166,974,998
12/09/2018;75.96;76.05;75.34;75.75;1,888,472;15,822;142,960,384
13/09/2018;75.83;77.19;75.5;76.3;1,733,238;13,401;132,442,319
14/09/2018;76.65;77.67;76.45;76.53;1,782,319;14,292;136,922,628
17/09/2018;76.05;76.84;76.04;76.66;1,149,046;8,979;87,936,385
18/09/2018;77.14;77.45;76.77;77.45;2,378,146;17,847;183,685,727
19/09/2018;77.3;77.45;76.34;76.91;1,599,665;11,676;122,943,320
20/09/2018;76.81;78.51;76.73;78.02;2,399,358;14,368;187,258,162
21/09/2018;78.02;79.05;78.02;78.07;7,552,232;22,418;590,900,733
24/09/2018;78.2;78.24;76.77;77.21;2,449,117;15,327;188,990,604
25/09/2018;77.16;77.45;76.82;76.98;1,386,442;9,456;106,775,990
26/09/2018;77.11;77.27;76.5;76.7;1,758,906;11,164;135,064,183
27/09/2018;76.5;76.9;75.65;75.9;1,983,914;14,445;150,746,771
28/09/2018;75.81;76.01;75.09;75.22;2,382,037;15,075;179,627,582
01/10/2018;75;75.18;74.01;74.92;1,954,898;12,834;146,179,909
02/10/2018;74.53;74.83;73.7;74.19;2,061,591;16,090;152,865,963
03/10/2018;74.99;77.01;74.55;76.61;2,631,188;21,551;200,510,033
04/10/2018;75.64;76.19;75.28;75.5;2,132,038;14,270;161,204,942
05/10/2018;75.5;76.18;75.33;75.44;1,788,294;12,722;135,306,464
08/10/2018;75.8;76.45;75.56;75.56;1,510,190;13,181;114,545,710
09/10/2018;76.22;76.22;74.56;75.47;1,888,581;14,438;142,097,346
10/10/2018;75.48;75.64;74.61;74.61;1,717,619;11,846;128,767,014
11/10/2018;73.8;74.43;73.17;73.52;2,231,992;16,898;164,584,685
12/10/2018;73.61;73.73;72.52;73;2,136,798;15,995;156,140,979
15/10/2018;72.88;73.31;72.48;72.88;1,449,742;11,538;105,571,634
16/10/2018;72.9;73.99;72.77;73.91;1,579,725;11,556;116,266,880
17/10/2018;73.78;74.06;72.73;72.79;1,775,336;13,169;129,900,617
18/10/2018;72.78;73.35;72.6;73;1,395,645;10,059;101,943,233
19/10/2018;73.21;73.49;71.64;73.18;3,286,073;22,322;238,662,498
22/10/2018;73.18;74.19;72.94;73.13;1,734,396;12,977;127,160,923
23/10/2018;72.22;72.84;71.31;71.31;3,044,088;20,958;218,461,605
24/10/2018;71.38;73.87;71.38;72.36;3,314,780;25,820;240,901,881
25/10/2018;66.25;67.45;64.05;64.85;8,138,163;61,505;533,928,446
26/10/2018;66;66.02;64.16;65.94;4,655,156;33,122;303,725,485
29/10/2018;66.25;68.49;66.25;66.5;2,646,684;18,572;177,430,856
30/10/2018;66.77;67.14;64.77;65.21;2,747,084;23,392;179,890,494
31/10/2018;66.21;67.07;64.95;65.14;3,304,966;19,685;217,222,052
01/11/2018;65.04;67.41;65.04;67.23;2,808,319;20,476;187,616,256
02/11/2018;68.11;68.81;66.67;66.69;2,377,880;19,982;160,306,947
05/11/2018;66.8;67.25;66.59;66.73;1,542,119;14,460;103,094,391
06/11/2018;66.51;66.63;65.51;66.01;1,367,219;9,756;90,202,053
07/11/2018;66.37;67.1;66.1;66.82;1,241,990;8,715;82,869,042
08/11/2018;66.85;67.1;65.4;65.61;1,653,044;9,991;109,081,791
09/11/2018;65.35;66.01;65.23;65.68;1,765,125;14,128;115,793,723
12/11/2018;65.96;66.02;64.85;64.99;1,679,374;12,387;109,420,539
13/11/2018;65.13;65.99;65;65.44;1,909,446;12,367;124,933,295
14/11/2018;65;66.6;64.76;66.39;2,217,962;15,237;146,382,376
15/11/2018;67.35;68.32;67.17;68;2,887,119;19,056;195,874,540
16/11/2018;68.13;68.83;67.56;68.5;2,606,174;15,863;178,210,988
19/11/2018;69.22;69.67;68.36;68.36;1,856,994;13,281;127,909,349
20/11/2018;67.92;68.39;66.96;66.96;1,844,984;15,660;124,170,343
21/11/2018;66.8;67.62;66.8;67.22;1,663,669;12,904;111,677,874
22/11/2018;67.17;67.49;66.51;66.72;1,762,640;8,549;117,856,264
23/11/2018;67.01;67.92;66.69;67.28;1,943,935;11,062;131,142,986
26/11/2018;67.4;67.88;66.41;67.3;1,994,276;14,787;134,051,606
27/11/2018;67;67.38;66.13;67.34;1,984,262;14,519;132,973,588
28/11/2018;67.03;67.45;66.63;67.19;1,221,526;10,642;81,984,048
29/11/2018;67.94;68.99;67.09;67.38;1,559,807;12,139;105,790,707
30/11/2018;67.63;68.67;67.45;67.64;2,516,337;13,068;170,759,327
03/12/2018;69.15;69.22;66.42;66.99;2,128,685;16,497;143,396,626
04/12/2018;66.5;66.91;66.07;66.39;1,641,464;11,407;109,073,883
05/12/2018;65.8;66.49;65.59;65.59;1,447,230;9,003;95,224,961
06/12/2018;65.26;65.54;62.48;62.55;2,906,130;17,323;183,897,943
07/12/2018;63.11;63.61;62.43;62.66;1,889,272;16,040;118,968,284
10/12/2018;62.34;62.73;61.67;61.93;2,255,414;13,385;140,123,981
11/12/2018;62.04;64.21;61.84;62.93;3,107,904;20,401;195,836,904
12/12/2018;63;63.96;62.55;63.6;2,251,743;16,672;142,582,893
13/12/2018;63.2;63.65;62.52;63.21;1,797,682;14,006;113,570,920
14/12/2018;62.5;63.04;61.63;62.27;1,760,970;13,319;109,859,068
17/12/2018;61.94;62.19;60.89;61.07;2,210,665;15,121;135,401,006
18/12/2018;60.63;61.38;60.24;60.96;2,379,768;18,079;145,051,441
19/12/2018;60.25;61.47;60.25;61.35;2,953,903;16,881;180,311,541
20/12/2018;60.37;61.22;59.58;59.67;3,095,499;20,827;186,172,047
21/12/2018;59.75;60.21;58.31;59.58;4,834,675;25,791;287,059,855
24/12/2018;58.15;59.76;58.08;58.46;536,641;3,824;31,461,437
27/12/2018;58.78;58.98;56.84;57.35;2,251,379;14,977;129,392,812
28/12/2018;57.77;58.29;57.44;57.5;2,110,034;16,554;121,874,246
31/12/2018;57.99;57.99;57.54;57.7;468,358;2,555;27,032,826
02/01/2019;57.4;57.68;56.32;57.47;1,946,215;14,060;111,363,695
03/01/2019;58;58.63;57.57;58.17;1,929,456;15,987;112,051,252
04/01/2019;58.89;60.64;58.43;60.54;3,155,092;23,576;188,141,044
07/01/2019;60.3;60.33;59.22;60.28;2,268,530;13,552;136,055,204
08/01/2019;60.3;62.02;60.3;61.47;2,481,093;16,785;152,235,127
09/01/2019;62.14;62.18;60.3;60.78;2,468,822;18,077;150,891,121
10/01/2019;60.51;61.22;60.05;61.22;1,620,498;10,946;98,473,380
11/01/2019;61.22;65.63;61.09;63.49;4,526,127;33,014;287,958,708
14/01/2019;63.85;64.81;63.08;63.18;2,471,767;18,700;157,114,507
15/01/2019;63.3;63.95;62.84;63.54;1,860,393;15,231;118,024,213
16/01/2019;63;63.24;61.53;61.83;2,875,154;23,076;178,662,933
17/01/2019;61.9;62.96;61.83;62.63;2,131,389;13,752;133,141,072
18/01/2019;63.49;64.75;63.04;64.75;3,957,095;18,508;254,954,860
21/01/2019;65.16;65.18;64.02;64.43;1,164,644;8,494;75,073,468
22/01/2019;64.7;64.94;64.02;64.15;1,946,840;13,967;125,287,128
23/01/2019;64.7;64.93;64.5;64.58;1,833,495;12,703;118,565,345
24/01/2019;65.65;65.8;64.64;65.7;2,061,520;12,676;134,704,128
25/01/2019;65.99;66.26;65.26;65.54;1,541,189;9,635;101,130,688
28/01/2019;65.5;65.64;63.76;64;2,164,979;13,253;139,165,023
29/01/2019;64.15;64.83;63.76;64.57;1,277,844;8,919;82,426,958
30/01/2019;64.63;65.41;64.17;65.19;1,429,280;10,083;92,931,484
31/01/2019;65.85;66.61;65.4;66.61;2,400,725;14,931;159,028,114
01/02/2019;66.78;67.23;66.22;66.78;2,128,699;17,737;142,198,411
04/02/2019;67.63;67.63;66.55;67.58;1,710,633;9,527;115,167,362
05/02/2019;67.66;69.13;67.04;69.13;2,281,473;13,948;156,576,525
06/02/2019;69.74;69.84;68.74;69.15;1,410,064;10,509;97,569,557
07/02/2019;68.33;68.94;67.36;67.37;2,082,889;14,929;141,051,046
08/02/2019;67.51;67.66;66.56;66.67;1,719,104;13,325;115,081,823
11/02/2019;67.1;67.78;67.07;67.74;1,454,954;10,085;98,320,329
12/02/2019;68.28;68.92;66.47;67.53;1,916,983;15,190;129,458,375
13/02/2019;68;69.65;67.41;69;2,129,825;13,620;146,658,364
14/02/2019;69.45;69.52;66.69;66.89;2,045,029;13,975;138,386,830
15/02/2019;67.34;68.7;66.66;68.45;2,016,590;11,383;137,387,532
18/02/2019;68.67;68.73;68.07;68.64;763,490;5,960;52,300,530
19/02/2019;68.64;68.64;67.38;67.76;1,448,494;10,602;98,062,751
20/02/2019;67.84;68.81;67.02;68.81;1,564,196;10,087;106,750,377
21/02/2019;68.45;68.59;67.43;68.24;1,348,466;10,055;91,843,648
22/02/2019;66.9;67.39;64.79;65.77;2,916,442;21,274;192,149,588
25/02/2019;66.44;66.61;65.76;66.18;1,717,992;10,969;113,614,698
26/02/2019;65.91;66.28;64.8;66.18;2,231,568;15,188;146,501,980
27/02/2019;65.83;66.03;65.36;65.86;1,926,889;15,415;126,628,464
